Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
211,1263,89.9261,341.697,0,555079,-8110580,0,-16388700,273.15,0,33.1352,10139.9,0,0,0,1.20473E-06,0
212,1256,532.132,493.073,0,304377,-7500580,0,-13775200,273.15,0,23.8623,1719.22,0,0,0,1.20473E-06,0
213,1257,395.911,485.821,0,363151,-7452220,0,-13138100,273.15,0,24.8999,2359.57,0,0,0,1.20473E-06,0
214,1258,397.692,573.668,0,331862,-7620830,0,-13935700,273.15,0,24.6154,2397.43,0,0,0,1.20473E-06,0
215,1259,364.41,519.062,0,413231,-7528630,0,-13743400,273.15,0,25.1731,2611.49,0,0,0,1.20473E-06,0
216,1252,440.001,582.644,0,257427,-7633590,0,-13764200,273.15,0,24.1088,2156.52,0,0,0,1.20473E-06,0
217,1253,362.524,648.4,0,520523,-7778900,0,-15019800,273.15,0,24.5436,2544.53,0,0,0,1.20473E-06,0
218,1254,357.404,604.305,0,498193,-7710150,0,-14782600,273.15,0,24.8253,2622.1,0,0,0,1.20473E-06,0
219,1255,294.527,492.731,0,778684,-7503240,0,-14149800,273.15,0,25.7222,3031.17,0,0,0,1.20473E-06,0
220,1248,689.278,1122.67,0,660436,-7400340,0,-2752340,273.15,0,22.9014,1177.02,0,0,0,1.20473E-06,0
221,1249,705.792,1090.18,0,742238,-7571950,0,-3293890,273.15,0,23.0607,1457.56,0,0,0,1.20473E-06,0
222,1250,744.714,1633.41,0,4609.08,-8201510,0,-4394680,273.15,0,25.9553,2886.37,0,0,0,1.20473E-06,0
223,1251,284.887,561.053,0,879897,-7735470,0,-15388800,273.15,0,25.4421,2915.67,0,0,0,1.20473E-06,0
224,1244,676.94,975.529,0,357822,-8127310,0,-10784900,273.15,0,23.2353,2050.23,0,0,0,1.20473E-06,0
225,1245,735.638,940.694,0,707312,-8182740,0,-11646100,273.15,0,24.0854,3006.09,0,0,0,1.20473E-06,0
226,1246,689.776,936.649,0,393546,-8214120,0,-12528700,273.15,0,23.51,2349.65,0,0,0,1.20473E-06,0
227,1247,741.721,979.047,0,893711,-8047390,0,-9290200,273.15,0,23.9271,2748.15,0,0,0,1.20473E-06,0
