Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
568,4,800,1200,0,890339,-6.89251E+06,0,-6.97465E+06,273.15,0,24.2034,1666.26,0,0,0,1.20473E-06,0
569,5,800,2000,0,0,-9.293E+06,0,0,273.15,0,31.4066,12359.3,0,0,0,1.20473E-06,0
570,6,0,2000,0,0,-8.70416E+06,0,0,273.15,0,25.2733,1130.37,0,0,0,1.20473E-06,0
571,7,43.4783,0,0,0,250000,0,2.09101E+07,273.15,0,16.8624,223.607,0,0,0,1.20473E-06,0
572,1,0,0,0,0,250000,0,1.92552E+07,273.15,0,16.8624,223.607,0,0,0,1.20473E-06,0
573,2,1000,0,0,0,250000,0,1.69688E+07,273.15,0,16.8624,223.607,0,0,0,1.20473E-06,0
574,3,1000,453.59,0,915202,-6.7973E+06,0,-2.13434E+07,273.15,0,32.8805,12479.2,0,0,0,1.20473E-06,0
575,124,0,444.883,0,0,-8.12381E+06,0,-1.33897E+07,273.15,0,32.9515,12041.6,0,0,0,1.20473E-06,0
576,125,0,400.452,0,0,-8.22276E+06,0,-1.57154E+07,273.15,0,33.4286,12523.9,0,0,0,1.20473E-06,0
577,126,0,356.02,0,0,-8.26833E+06,0,-1.76325E+07,273.15,0,33.7651,12798.6,0,0,0,1.20473E-06,0
578,127,0,311.588,0,0,-8.21686E+06,0,-1.90971E+07,273.15,0,34.0478,13092.8,0,0,0,1.20473E-06,0
579,120,0,622.611,0,0,-7.56277E+06,0,-5.05215E+06,273.15,0,29.7999,7716.29,0,0,0,1.20473E-06,0
580,121,0,578.179,0,0,-7.67859E+06,0,-6.55153E+06,273.15,0,30.717,9056.69,0,0,0,1.20473E-06,0
581,122,0,533.747,0,0,-7.83948E+06,0,-8.58258E+06,273.15,0,31.6025,10336.5,0,0,0,1.20473E-06,0
582,123,0,489.315,0,0,-7.98821E+06,0,-1.09455E+07,273.15,0,32.3409,11325.9,0,0,0,1.20473E-06,0
583,116,0,800.339,0,0,-7.48404E+06,0,-3.8127E+06,273.15,0,26.3377,3555.38,0,0,0,1.20473E-06,0
584,117,0,755.907,0,0,-7.45183E+06,0,-3.2934E+06,273.15,0,27.1034,4286.47,0,0,0,1.20473E-06,0
585,118,0,711.475,0,0,-7.45117E+06,0,-3.42927E+06,273.15,0,27.9853,5284.94,0,0,0,1.20473E-06,0
586,119,0,667.043,0,0,-7.488E+06,0,-3.99365E+06,273.15,0,28.8761,6423.67,0,0,0,1.20473E-06,0
587,112,0,978.066,0,0,-7.74682E+06,0,-5.13973E+06,273.15,0,24.4381,1742.2,0,0,0,1.20473E-06,0
588,113,0,933.634,0,0,-7.68184E+06,0,-5.05533E+06,273.15,0,24.786,2104.08,0,0,0,1.20473E-06,0
589,114,0,889.202,0,0,-7.60901E+06,0,-4.79674E+06,273.15,0,25.2016,2516.52,0,0,0,1.20473E-06,0
590,115,0,844.771,0,0,-7.54093E+06,0,-4.30132E+06,273.15,0,25.7232,3007.64,0,0,0,1.20473E-06,0
591,108,0,1155.79,0,0,-7.89648E+06,0,-3.99382E+06,273.15,0,23.9107,813.052,0,0,0,1.20473E-06,0
592,109,0,1111.36,0,0,-7.86943E+06,0,-4.40041E+06,273.15,0,23.9209,966.778,0,0,0,1.20473E-06,0
593,110,0,1066.93,0,0,-7.84761E+06,0,-4.80987E+06,273.15,0,23.9837,1165.28,0,0,0,1.20473E-06,0
594,111,0,1022.5,0,0,-7.79823E+06,0,-5.02343E+06,273.15,0,24.1716,1447.46,0,0,0,1.20473E-06,0
595,104,0,1333.52,0,0,-8.04627E+06,0,-4.21001E+06,273.15,0,24.038,623.909,0,0,0,1.20473E-06,0
596,105,0,1289.09,0,0,-7.96354E+06,0,-3.85752E+06,273.15,0,24.0056,626.813,0,0,0,1.20473E-06,0
597,106,0,1244.66,0,0,-7.91285E+06,0,-3.58282E+06,273.15,0,23.9724,655.263,0,0,0,1.20473E-06,0
598,107,0,1200.23,0,0,-7.89612E+06,0,-3.64729E+06,273.15,0,23.9334,717.55,0,0,0,1.20473E-06,0
599,100,0,1511.25,0,0,-8.37516E+06,0,-4.58688E+06,273.15,0,24.193,644.641,0,0,0,1.20473E-06,0
600,101,0,1466.82,0,0,-8.30591E+06,0,-4.67808E+06,273.15,0,24.1353,637.212,0,0,0,1.20473E-06,0
