Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
48,1171,-1360.95,5191.06,0,2135380,-6311750,0,-21836900,273.15,0,7.56687,2865.56,0,0,0,1.20473E-06,0
49,1170,-419.247,5815.67,0,-146178,-7980170,0,-18428700,273.15,0,6.03836,593.992,0,0,0,1.20473E-06,0
50,1133,-65.6703,3632.08,0,-3571810,-8623010,0,-44290300,273.15,0,5.28775,8528.12,0,0,0,1.20473E-06,0
51,1132,-127.43,3739.64,0,-4866090,-7946630,0,-44301100,273.15,0,5.05919,5218.25,0,0,0,1.20473E-06,0
52,1135,-977.518,4420.73,0,740771,-8445020,0,-37841900,273.15,0,5.93704,2264.4,0,0,0,1.20473E-06,0
53,1134,-1103.47,4443.75,0,1746510,-8126130,0,-37748300,273.15,0,6.02441,2210.37,0,0,0,1.20473E-06,0
54,1129,-39.4177,3371.72,0,-2910640,-8997060,0,-54145300,273.15,0,4.91342,5136.26,0,0,0,1.20473E-06,0
55,1128,-790.481,3731.99,0,413000,-8603370,0,-48523600,273.15,0,5.07855,1655.87,0,0,0,1.20473E-06,0
56,1131,-49.5881,3507.65,0,-2636670,-8816750,0,-50436300,273.15,0,5.18172,7076.76,0,0,0,1.20473E-06,0
57,1130,-111.317,3344.49,0,-3170580,-9035580,0,-56440500,273.15,0,4.72341,4090.53,0,0,0,1.20473E-06,0
58,1125,-843.847,3838.92,0,34654.3,-8854210,0,-47606200,273.15,0,5.23424,1896.13,0,0,0,1.20473E-06,0
59,1124,-326.414,3379.9,0,-2391310,-8613830,0,-62183600,273.15,0,4.5324,2883.74,0,0,0,1.20473E-06,0
60,1127,-678.376,3705.84,0,2670880,-8727420,0,-54722800,273.15,0,4.90318,1622.33,0,0,0,1.20473E-06,0
61,1126,-587.412,3740.7,0,3410470,-9236830,0,-59789500,273.15,0,4.89411,1863.07,0,0,0,1.20473E-06,0
62,1121,-455.998,3578.71,0,4034460,-9220840,0,-65731500,273.15,0,4.65963,1797.64,0,0,0,1.20473E-06,0
63,1120,-723.495,3503.5,0,3467170,-7542020,0,-44161700,273.15,0,4.86495,1718.57,0,0,0,1.20473E-06,0
64,1123,-228.218,3506.81,0,-6138620,-8183220,0,-57724000,273.15,0,4.70626,3469.02,0,0,0,1.20473E-06,0
65,1122,-510.258,3513.14,0,4353760,-8376240,0,-63355200,273.15,0,4.63486,1693.63,0,0,0,1.20473E-06,0
66,1149,-991.983,4126.39,0,1633800,-8690720,0,-46212700,273.15,0,5.63493,2028.36,0,0,0,1.20473E-06,0
67,1148,-867.862,4219.62,0,-374444,-9005810,0,-41900500,273.15,0,5.69474,2919.96,0,0,0,1.20473E-06,0
68,1151,-426.635,6659.34,0,122821,-6905890,0,-2204110,273.15,0,6.34963,613.162,0,0,0,1.20473E-06,0
69,1150,-445.232,6867.21,0,141855,-6778300,0,-259714,273.15,0,6.31237,588.913,0,0,0,1.20473E-06,0
70,1145,-969.558,4331.7,0,642547,-8624960,0,-40817900,273.15,0,5.82473,2153.64,0,0,0,1.20473E-06,0
71,1144,-690.955,4335.52,0,1485070,-9388460,0,-42334200,273.15,0,5.90767,5894.17,0,0,0,1.20473E-06,0
72,1147,-962.277,4068.11,0,1212580,-8765120,0,-46840700,273.15,0,5.56765,2114.36,0,0,0,1.20473E-06,0
73,1146,-812.605,4334.99,0,11587,-8987580,0,-38711200,273.15,0,5.87204,4185.44,0,0,0,1.20473E-06,0
74,1141,-381.881,4324.96,0,1277840,-9765290,0,-47818100,273.15,0,5.58546,4229.17,0,0,0,1.20473E-06,0
75,1140,-246.843,4309.08,0,2945200,-8676690,0,-37934600,273.15,0,5.50938,3990.99,0,0,0,1.20473E-06,0
76,1143,-999.207,4192.85,0,1377680,-8685810,0,-45051300,273.15,0,5.70048,1983.87,0,0,0,1.20473E-06,0
77,1142,-630.384,4365.28,0,1849970,-9459630,0,-44847700,273.15,0,5.91991,5647.69,0,0,0,1.20473E-06,0
78,1137,-863.644,4373.49,0,-176436,-8728380,0,-37171700,273.15,0,5.86861,3167.25,0,0,0,1.20473E-06,0
79,1136,-750.533,4374.3,0,302546,-9149370,0,-38301400,273.15,0,5.95983,5689.68,0,0,0,1.20473E-06,0
80,1139,-1074.28,4370.32,0,1659100,-8313950,0,-40021100,273.15,0,5.94936,2154.89,0,0,0,1.20473E-06,0
81,1138,-1040.25,4303.38,0,1509060,-8498820,0,-42121400,273.15,0,5.84029,2040.63,0,0,0,1.20473E-06,0
82,1101,261.937,3744.1,0,-3791880,-7834450,0,-47652100,273.15,0,5.5552,6832.35,0,0,0,1.20473E-06,0
83,1100,171.963,3857.51,0,-2055910,-7687870,0,-37007400,273.15,0,5.6884,8069.51,0,0,0,1.20473E-06,0
84,1103,177.095,3731.98,0,-2140370,-7839450,0,-37908600,273.15,0,5.62122,8211.47,0,0,0,1.20473E-06,0
