Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
42,1173,-1245.42,5239.22,0,1.45811E+06,-6.49515E+06,0,-1.97808E+07,273.15,0,7.04608,2218.74,0,0,0,1.20473E-06,0
43,1172,-1413.97,5215.81,0,2.30077E+06,-6.23044E+06,0,-2.1453E+07,273.15,0,7.9106,3232.99,0,0,0,1.20473E-06,0
44,1175,-1216.4,5182.07,0,1.30588E+06,-6.57589E+06,0,-2.00624E+07,273.15,0,6.83207,1998.57,0,0,0,1.20473E-06,0
45,1174,-1332.35,5056.11,0,2.12224E+06,-6.43386E+06,0,-2.33554E+07,273.15,0,7.13107,2506.87,0,0,0,1.20473E-06,0
46,1169,-420.173,5650.09,0,-285713,-7.97498E+06,0,-2.00872E+07,273.15,0,5.98465,591.175,0,0,0,1.20473E-06,0
47,1168,-704.652,6098.82,0,218724,-7.82167E+06,0,-1.34334E+07,273.15,0,6.51331,1207.9,0,0,0,1.20473E-06,0
48,1171,-1360.95,5191.06,0,2.13538E+06,-6.31175E+06,0,-2.18369E+07,273.15,0,7.56687,2865.56,0,0,0,1.20473E-06,0
49,1170,-419.247,5815.67,0,-146178,-7.98017E+06,0,-1.84287E+07,273.15,0,6.03836,593.992,0,0,0,1.20473E-06,0
50,1133,-65.6703,3632.08,0,-3.57181E+06,-8.62301E+06,0,-4.42903E+07,273.15,0,5.28775,8528.12,0,0,0,1.20473E-06,0
51,1132,-127.43,3739.64,0,-4.86609E+06,-7.94663E+06,0,-4.43011E+07,273.15,0,5.05919,5218.25,0,0,0,1.20473E-06,0
52,1135,-977.518,4420.73,0,740771,-8.44502E+06,0,-3.78419E+07,273.15,0,5.93704,2264.4,0,0,0,1.20473E-06,0
53,1134,-1103.47,4443.75,0,1.74651E+06,-8.12613E+06,0,-3.77483E+07,273.15,0,6.02441,2210.37,0,0,0,1.20473E-06,0
54,1129,-39.4177,3371.72,0,-2.91064E+06,-8.99706E+06,0,-5.41453E+07,273.15,0,4.91342,5136.26,0,0,0,1.20473E-06,0
55,1128,-790.481,3731.99,0,413000,-8.60337E+06,0,-4.85236E+07,273.15,0,5.07855,1655.87,0,0,0,1.20473E-06,0
56,1131,-49.5881,3507.65,0,-2.63667E+06,-8.81675E+06,0,-5.04363E+07,273.15,0,5.18172,7076.76,0,0,0,1.20473E-06,0
57,1130,-111.317,3344.49,0,-3.17058E+06,-9.03558E+06,0,-5.64405E+07,273.15,0,4.72341,4090.53,0,0,0,1.20473E-06,0
58,1125,-843.847,3838.92,0,34654.3,-8.85421E+06,0,-4.76062E+07,273.15,0,5.23424,1896.13,0,0,0,1.20473E-06,0
59,1124,-326.414,3379.9,0,-2.39131E+06,-8.61383E+06,0,-6.21836E+07,273.15,0,4.5324,2883.74,0,0,0,1.20473E-06,0
60,1127,-678.376,3705.84,0,2.67088E+06,-8.72742E+06,0,-5.47228E+07,273.15,0,4.90318,1622.33,0,0,0,1.20473E-06,0
61,1126,-587.412,3740.7,0,3.41047E+06,-9.23683E+06,0,-5.97895E+07,273.15,0,4.89411,1863.07,0,0,0,1.20473E-06,0
62,1121,-455.998,3578.71,0,4.03446E+06,-9.22084E+06,0,-6.57315E+07,273.15,0,4.65963,1797.64,0,0,0,1.20473E-06,0
63,1120,-723.495,3503.5,0,3.46717E+06,-7.54202E+06,0,-4.41617E+07,273.15,0,4.86495,1718.57,0,0,0,1.20473E-06,0
64,1123,-228.218,3506.81,0,-6.13862E+06,-8.18322E+06,0,-5.7724E+07,273.15,0,4.70626,3469.02,0,0,0,1.20473E-06,0
65,1122,-510.258,3513.14,0,4.35376E+06,-8.37624E+06,0,-6.33552E+07,273.15,0,4.63486,1693.63,0,0,0,1.20473E-06,0
66,1149,-991.983,4126.39,0,1.6338E+06,-8.69072E+06,0,-4.62127E+07,273.15,0,5.63493,2028.36,0,0,0,1.20473E-06,0
67,1148,-867.862,4219.62,0,-374444,-9.00581E+06,0,-4.19005E+07,273.15,0,5.69474,2919.96,0,0,0,1.20473E-06,0
68,1151,-426.635,6659.34,0,122821,-6.90589E+06,0,-2.20411E+06,273.15,0,6.34963,613.162,0,0,0,1.20473E-06,0
69,1150,-445.232,6867.21,0,141855,-6.7783E+06,0,-259714,273.15,0,6.31237,588.913,0,0,0,1.20473E-06,0
70,1145,-969.558,4331.7,0,642547,-8.62496E+06,0,-4.08179E+07,273.15,0,5.82473,2153.64,0,0,0,1.20473E-06,0
71,1144,-690.955,4335.52,0,1.48507E+06,-9.38846E+06,0,-4.23342E+07,273.15,0,5.90767,5894.17,0,0,0,1.20473E-06,0
72,1147,-962.277,4068.11,0,1.21258E+06,-8.76512E+06,0,-4.68407E+07,273.15,0,5.56765,2114.36,0,0,0,1.20473E-06,0
73,1146,-812.605,4334.99,0,11587,-8.98758E+06,0,-3.87112E+07,273.15,0,5.87204,4185.44,0,0,0,1.20473E-06,0
74,1141,-381.881,4324.96,0,1.27784E+06,-9.76529E+06,0,-4.78181E+07,273.15,0,5.58546,4229.17,0,0,0,1.20473E-06,0
75,1140,-246.843,4309.08,0,2.9452E+06,-8.67669E+06,0,-3.79346E+07,273.15,0,5.50938,3990.99,0,0,0,1.20473E-06,0
76,1143,-999.207,4192.85,0,1.37768E+06,-8.68581E+06,0,-4.50513E+07,273.15,0,5.70048,1983.87,0,0,0,1.20473E-06,0
77,1142,-630.384,4365.28,0,1.84997E+06,-9.45963E+06,0,-4.48477E+07,273.15,0,5.91991,5647.69,0,0,0,1.20473E-06,0
78,1137,-863.644,4373.49,0,-176436,-8.72838E+06,0,-3.71717E+07,273.15,0,5.86861,3167.25,0,0,0,1.20473E-06,0
79,1136,-750.533,4374.3,0,302546,-9.14937E+06,0,-3.83014E+07,273.15,0,5.95983,5689.68,0,0,0,1.20473E-06,0
80,1139,-1074.28,4370.32,0,1.6591E+06,-8.31395E+06,0,-4.00211E+07,273.15,0,5.94936,2154.89,0,0,0,1.20473E-06,0
